RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-05-03;AGXY3;BRAGXYACNOR4;AGXY;231582;7,2788852;1;1685658,8
2023-05-03;AIRB34;BRAIRBBDR004;AIRB;47008;29,1065905;1;1368242,61
2023-05-03;ALLD3;BRALLDACNOR3;ALLD;41608;4,8060969;1;199972,08
2023-05-03;ALPA3;BRALPAACNOR0;ALPA;12857;8,3399642;1;107226,92
2023-05-03;ALPA4;BRALPAACNPR7;ALPA;45526825;7,414035;1;337537475,27
2023-05-03;ALPK3;BRALPKACNOR9;ALPK;170764;1,2189125;1;208146,39
2023-05-03;ALSO3;BRALSOACNOR5;ALSO;27567313;18,1750367;1;501036926,7
2023-05-03;ALUG11;BRALUGCTF000;ALUG;96830;32,6478884;1;3161295,04
2023-05-03;ALUP11;BRALUPCDAM15;ALUP;2716346;26,8922614;1;73048686,78
2023-05-03;ALUP3;BRALUPACNOR8;ALUP;2222;8,8511296;1;19667,21
2023-05-03;ALUP4;BRALUPACNPR5;ALUP;5209;8,9478863;1;46609,54
2023-05-03;ALZR11;BRALZRCTF006;ALZR;2020;114,0303118;1;230341,23
2023-05-03;AMAR3;BRAMARACNOR4;AMAR;21511855;0,6394777;1;13756353,25
2023-05-03;AMBP3;BRAMBPACNOR6;AMBP;3546533;20,9703566;1;74372061,72
2023-05-03;AMER3;BRAMERACNOR6;AMER;40332707;1,1130483;1;44892252,54
2023-05-03;AMGN34;BRAMGNBDR004;AMGN;408;43,9504901;1;17931,8
2023-05-03;AMZO34;BRAMZOBDR002;AMZO;558888;25,9183078;1;14485431,23
2023-05-03;ANIM3;BRANIMACNOR6;ANIM;15985354;2,3664053;1;37827827,18
2023-05-03;APER3;BRAPERACNOR9;APER;99137;26,1684897;1;2594265,57
2023-05-03;ARML3;BRARMLACNOR1;ARML;4884378;11,6552835;1;56928810,58
2023-05-03;ARMT34;BRARMTBDR008;ARMT;1;74,64;1;74,64
2023-05-03;ARRI11;BRARRICTF009;ARRI;14996;8,6117971;1;129142,51
2023-05-03;ARZZ3;BRARZZACNOR3;ARZZ;8003306;64,5002186;1;516214986,55
2023-05-03;ASAI3;BRASAIACNOR0;ASAI;47361089;13,1208737;1;621418869,3
2023-05-03;ASML34;BRASMLBDR003;ASML;682;56,97;1;38853,54
